Country  	Demonym
Afghanistan 	Afghan
Albania 	Albanian
Algeria 	Algerian
Andorra 	Andorran
Angola 	Angolan
Antigua and Barbuda 	Antiguans, Barbudans
Argentina 	Argentine or Argentinean
Armenia 	Armenian
Australia 	Australian or Ozzie or Aussie
Austria 	Austrian
Azerbaijan 	Azerbaijani
The Bahamas 	Bahamian
Bahrain 	Bahraini
Bangladesh 	Bangladeshi
Barbados 	Barbadian or Bajuns
Belarus 	Belarusian
Belgium 	Belgian
Belize 	Belizean
Benin 	Beninese
Bhutan 	Bhutanese
Bolivia 	Bolivian
Bosnia and Herzegovina 	Bosnian, Herzegovinian
Botswana 	Motswana (singular), Batswana (plural)
Brazil 	Brazilian
Brunei 	Bruneian
Bulgaria 	Bulgarian
Burkina Faso 	Burkinabe
Burundi 	Burundian
Cambodia 	Cambodian
Cameroon 	Cameroonian
Canada 	Canadian
Cape Verde 	Cape Verdian or Cape Verdean
Central African Republic 	Central African
Chad 	Chadian
Chile 	Chilean
China 	Chinese
Colombia 	Colombian
Comoros 	Comoran
Congo, Republic of the 	Congolese
Congo, Democratic Republic of the 	Congolese
Costa Rica 	Costa Rican
Cote d'Ivoire 	Ivorian
Croatia 	Croat or Croatian
Cuba 	Cuban
Cyprus 	Cypriot
Czech Republic 	Czech
Denmark 	Dane or Danish
Djibouti 	Djibouti
Dominica 	Dominican
Dominican Republic 	Dominican
East Timor 	East Timorese
Ecuador 	Ecuadorean
Egypt 	Egyptian
El Salvador 	Salvadoran
Equatorial Guinea 	Equatorial Guinean or Equatoguinean
Eritrea 	Eritrean
Estonia 	Estonian
Ethiopia 	Ethiopian
Fiji 	Fijian
Finland 	Finn or Finnish
France 	French or Frenchman or Frenchwoman
Gabon 	Gabonese
The Gambia 	Gambian
Georgia 	Georgian
Germany 	German
Ghana 	Ghanaian
Greece 	Greek
Grenada 	Grenadian or Grenadan
Guatemala 	Guatemalan
Guinea 	Guinean
Guinea-Bissau 	Guinea-Bissauan
Guyana 	Guyanese
Haiti 	Haitian
Honduras 	Honduran
Hungary 	Hungarian
Iceland 	Icelander
India 	Indian
Indonesia 	Indonesian
Iran 	Iranian
Iraq 	Iraqi

Ireland 	Irishman or Irishwoman or Irish
Israel 	Israeli
Italy 	Italian
Jamaica 	Jamaican
Japan 	Japanese
Jordan 	Jordanian
Kazakhstan 	Kazakhstani
Kenya 	Kenyan
Kiribati 	I-Kiribati
Korea, North 	North Korean
Korea, South 	South Korean
Kuwait 	Kuwaiti
Kyrgyz Republic 	Kyrgyz or Kirghiz
Laos 	Lao or Laotian
Latvia 	Latvian
Lebanon 	Lebanese
